"Estimated resident population by local government area (LGA), Queensland, 2001 to 2025p",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
LGA,Estimated resident population at 30 June,,,,,,,,,,,,,,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022r,2023r,2024r,2025p
,— number —,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
South Burnett (R),"27,651","27,942","28,251","28,630","29,050","29,699","30,114","30,583","31,173","31,518","31,803","32,340","32,647","32,606","32,589","32,625","32,680","32,698","32,784","32,952","33,323","33,743","34,248","34,683","35,111"
Southern Downs (R),"31,064","31,361","31,593","31,729","32,010","32,411","32,933","33,451","33,976","34,313","34,649","35,013","35,501","35,580","35,566","35,638","35,899","36,118","36,239","36,393","36,637","36,947","37,378","37,736","38,064"
Sunshine Coast (R),"198,931","205,772","214,931","223,143","230,168","236,654","243,309","250,800","258,047","263,053","267,241","274,828","281,969","288,652","295,317","302,841","311,426","320,606","329,946","338,389","346,634","354,795","364,891","374,298","381,957"
Tablelands (R),"21,894","22,201","22,502","22,699","22,861","23,228","23,553","23,885","24,103","24,230","24,372","24,603","24,827","25,060","25,111","25,217","25,521","25,849","26,071","26,309","26,488","26,781","27,231","27,575","27,902"
Toowoomba (R),"134,955","136,619","138,528","140,827","143,791","145,992","147,927","150,140","152,525","154,222","155,473","157,884","159,916","161,523","162,775","164,168","166,901","169,319","171,566","173,562","175,255","178,168","181,595","184,075","186,276"
Torres (S),"3,531","3,560","3,544","3,512","3,481","3,373","3,418","3,457","3,481","3,485","3,477","3,567","3,647","3,717","3,753","3,799","3,784","3,721","3,652","3,589","3,532","3,510","3,490","3,485","3,490"
Torres Strait Island (R),"4,244","4,314","4,387","4,400","4,485","4,548","4,577","4,606","4,609","4,600","4,578","4,599","4,614","4,690","4,731","4,775","4,688","4,551","4,434","4,355","4,294","4,281","4,276","4,278","4,298"
Townsville (C),"142,012","145,115","147,964","151,172","155,330","159,482","163,509","168,503","173,067","176,528","180,114","183,612","186,519","188,777","190,011","191,348","192,475","193,105","193,687","194,679","195,457","197,694","200,930","203,972","206,260"
Weipa (T),"2,131","2,241","2,367","2,507","2,721","2,902","3,133","3,246","3,303","3,337","3,423","3,684","3,811","3,863","3,964","4,040","4,057","4,082","4,112","4,143","4,177","4,207","4,241","4,268","4,297"
Western Downs (R),"28,715","28,711","28,636","28,655","28,837","29,122","29,520","30,235","30,893","31,466","32,365","32,899","33,415","33,744","33,867","34,049","34,292","34,338","34,420","34,390","34,351","34,500","34,925","35,237","35,452"
